period,start_year,geography,population,denominator_households_thousands,unweighted_sample_size_25_44,unweighted_sample_status,owner_households_thousands,owner_share_pct,private_renter_households_thousands,private_renter_share_pct,social_renter_households_thousands,social_renter_share_pct,uncertainty_status,source_id
2008-09,2008,England,private households with HRP age 25-44,7594.9731986131046,5687,published age-band sample sizes combined,4597.0099363350701,60.527006694039635,1680.9542933375942,22.132458527234146,1317.0089689404399,17.340534778726209,point estimate only; design covariance unavailable publicly,EHS_FA1201_OPEN
2009-10,2009,England,private households with HRP age 25-44,7463.3139629826583,5527,published age-band sample sizes combined,4342.6834512736832,58.187066399899408,1890.7378311259631,25.333757101789455,1229.8926805830047,16.479176498311041,point estimate only; design covariance unavailable publicly,EHS_FA1201_OPEN
2010-11,2010,England,private households with HRP age 25-44,7401.9482020112428,5501,published age-band sample sizes combined,4035.8193305222439,54.523744565324563,2068.6217595526805,27.946990482729923,1297.507111936317,17.5292649519455,point estimate only; design covariance unavailable publicly,EHS_FA1201_OPEN
2011-12,2011,England,private households with HRP age 25-44,7353.3613292402661,4395,published age-band sample sizes combined,3999.7096351570362,54.392942983127931,2173.2086602359122,29.553949043606206,1180.4430338472971,16.053107973265579,point estimate only; design covariance unavailable publicly,EHS_FA1201_OPEN
2012-13,2012,England,private households with HRP age 25-44,7264.3480852242901,4371,published age-band sample sizes combined,3774.0459130966301,51.95298833178235,2297.626268364656,31.62880194353621,1192.6759037629959,16.418209724681322,point estimate only; design covariance unavailable publicly,EHS_FA1201_OPEN
2013-14,2013,England,private households with HRP age 25-44,7372.6595579684836,,age-band unweighted sample unavailable; all-age total not substituted,3572.1062614241182,48.450714878911384,2559.2422730001558,34.712606121004022,1241.3110235442182,16.836679000084715,point estimate only; design covariance unavailable publicly,EHS_FA1201_OPEN
2014-15,2014,England,private households with HRP age 25-44,7231.6014895375038,4129,published age-band sample sizes combined,3536.1154685304855,48.898096412619623,2440.8087995659648,33.751981536831977,1254.6772214410569,17.349922050548443,point estimate only; design covariance unavailable publicly,EHS_FA1201_OPEN
2015-16,2015,England,private households with HRP age 25-44,7266.6901503087765,4139,published age-band sample sizes combined,3482.5991739784704,47.925521825510721,2574.7173069640908,35.431775040727253,1209.3736693662117,16.642703133761977,point estimate only; design covariance unavailable publicly,EHS_FA1201_OPEN
2016-17,2016,England,private households with HRP age 25-44,7337.0607240848585,4109,published age-band sample sizes combined,3341.5483990226062,45.543420242571223,2665.5677305548816,36.33018494456244,1329.9445945073758,18.126394812866401,point estimate only; design covariance unavailable publicly,EHS_FA1201_OPEN
2017-18,2017,England,private households with HRP age 25-44,7270.2085764550375,4204,published age-band sample sizes combined,3492.8452777531238,48.043260946665157,2532.2082728607643,34.829926077519389,1245.1550258411476,17.126812975815429,point estimate only; design covariance unavailable publicly,EHS_FA1201_OPEN
2018-19,2018,England,private households with HRP age 25-44,7394.9369922090482,4153,published age-band sample sizes combined,3592.3372646186854,48.578334993298796,2548.2510804871608,34.459402198718884,1254.3486471031902,16.962262807982164,point estimate only; design covariance unavailable publicly,EHS_FA1201_OPEN
