financial_year,start_year,geography,new_build_completions,net_conversions,net_change_of_use,net_other_gains,demolitions,census_adjustments,net_additional_dwellings,published_component_residual,stock_reference_date,start_of_year_all_dwellings,net_additions_rate_pct,denominator_note,source_ids
2008-09,2008,England,157630,8640,16640,270,16590,16190,182767,-13,2008-03-31,22511036,0.81189955006957482,all dwellings including vacant dwellings,MHCLG_DWELLING_STOCK_LT104_2026_05|MHCLG_NET_SUPPLY_LT120_2025_11
2009-10,2009,England,124198,6231,13605,967,16325,16190,144870,4,2009-03-31,22693802,0.63836813240901635,all dwellings including vacant dwellings,MHCLG_DWELLING_STOCK_LT104_2026_05|MHCLG_NET_SUPPLY_LT120_2025_11
2010-11,2010,England,117695,5047,11535,1809,14888,16190,137394,6,2010-03-31,22838672,0.60158489075021526,all dwellings including vacant dwellings,MHCLG_DWELLING_STOCK_LT104_2026_05|MHCLG_NET_SUPPLY_LT120_2025_11
2011-12,2011,England,128159,5242,12587,1103,12195,5889,140785,0,2011-03-31,22976066,0.61274632480599589,all dwellings including vacant dwellings,MHCLG_DWELLING_STOCK_LT104_2026_05|MHCLG_NET_SUPPLY_LT120_2025_11
2012-13,2012,England,118536,4095,12778,1369,12056,5889,130611,0,2012-03-31,23116851,0.5650034254232984,all dwellings including vacant dwellings,MHCLG_DWELLING_STOCK_LT104_2026_05|MHCLG_NET_SUPPLY_LT120_2025_11
2013-14,2013,England,130344,4472,12523,1330,12064,5889,142494,0,2013-03-31,23247462,0.61294432914870445,all dwellings including vacant dwellings,MHCLG_DWELLING_STOCK_LT104_2026_05|MHCLG_NET_SUPPLY_LT120_2025_11
2014-15,2014,England,155078,4945,20650,631,10611,5889,176582,0,2014-03-31,23389956,0.75494797852548334,all dwellings including vacant dwellings,MHCLG_DWELLING_STOCK_LT104_2026_05|MHCLG_NET_SUPPLY_LT120_2025_11
2015-16,2015,England,163939,4755,30598,777,10424,5889,195534,0,2015-03-31,23566538,0.8297103291115564,all dwellings including vacant dwellings,MHCLG_DWELLING_STOCK_LT104_2026_05|MHCLG_NET_SUPPLY_LT120_2025_11
2016-17,2016,England,183571,5680,37189,723,9818,5889,223234,0,2016-03-31,23762072,0.93945511149027749,all dwellings including vacant dwellings,MHCLG_DWELLING_STOCK_LT104_2026_05|MHCLG_NET_SUPPLY_LT120_2025_11
2017-18,2017,England,195387,4547,29726,680,8059,5889,228170,0,2017-03-31,23985307,0.95129072144042182,all dwellings including vacant dwellings,MHCLG_DWELLING_STOCK_LT104_2026_05|MHCLG_NET_SUPPLY_LT120_2025_11
2018-19,2018,England,214413,5162,29295,968,7961,5889,247766,0,2018-03-31,24213477,1.0232565938382165,all dwellings including vacant dwellings,MHCLG_DWELLING_STOCK_LT104_2026_05|MHCLG_NET_SUPPLY_LT120_2025_11
