DATE,IUMBV34,IUMZID4
31 Jan 2008,5.97,
29 Feb 2008,5.74,
31 Mar 2008,5.8,
30 Apr 2008,6.06,
31 May 2008,6.26,
30 Jun 2008,6.6,
31 Jul 2008,6.35,
31 Aug 2008,6.08,
30 Sep 2008,5.96,
31 Oct 2008,5.83,
30 Nov 2008,5.1,
31 Dec 2008,4.77,
31 Jan 2009,4.35,
28 Feb 2009,4.35,
31 Mar 2009,3.98,
30 Apr 2009,4.02,
31 May 2009,3.98,
30 Jun 2009,4.45,
31 Jul 2009,4.42,
31 Aug 2009,4.43,
30 Sep 2009,4.47,
31 Oct 2009,4.32,
30 Nov 2009,4.1,
31 Dec 2009,4.05,
31 Jan 2010,3.97,
28 Feb 2010,3.88,
31 Mar 2010,3.92,
30 Apr 2010,3.82,
31 May 2010,3.78,
30 Jun 2010,3.67,
31 Jul 2010,3.77,
31 Aug 2010,3.74,
30 Sep 2010,3.8,
31 Oct 2010,3.68,
30 Nov 2010,3.53,
31 Dec 2010,3.5,
31 Jan 2011,3.7,
28 Feb 2011,3.7,
31 Mar 2011,3.68,
30 Apr 2011,3.66,
31 May 2011,3.51,
30 Jun 2011,3.36,
31 Jul 2011,3.14,
31 Aug 2011,3,
30 Sep 2011,2.92,
31 Oct 2011,3.04,
30 Nov 2011,3.14,
31 Dec 2011,3.22,
31 Jan 2012,3.27,5.28
29 Feb 2012,3.37,5.26
31 Mar 2012,3.44,5.21
30 Apr 2012,3.66,5.29
31 May 2012,3.68,5.29
30 Jun 2012,3.74,5.36
31 Jul 2012,3.67,5.38
31 Aug 2012,3.69,5.36
30 Sep 2012,3.67,5.08
31 Oct 2012,3.49,5.06
30 Nov 2012,3.43,4.8
31 Dec 2012,3.35,4.95
31 Jan 2013,3.11,4.59
28 Feb 2013,2.92,4.51
31 Mar 2013,2.9,4.69
30 Apr 2013,2.87,4.28
31 May 2013,2.69,4.17
30 Jun 2013,2.63,4.25
31 Jul 2013,2.62,4.21
31 Aug 2013,2.58,4.21
30 Sep 2013,2.54,4.21
31 Oct 2013,2.48,4.19
30 Nov 2013,2.44,4.12
31 Dec 2013,2.4,4.05
31 Jan 2014,2.37,4.07
28 Feb 2014,2.38,4.05
31 Mar 2014,2.37,4.12
30 Apr 2014,2.54,4.02
31 May 2014,2.56,3.87
30 Jun 2014,2.6,3.89
31 Jul 2014,2.54,3.84
31 Aug 2014,2.54,3.76
30 Sep 2014,2.46,3.68
31 Oct 2014,2.21,3.65
30 Nov 2014,2.17,3.67
31 Dec 2014,2.08,3.68
31 Jan 2015,2.01,3.61
28 Feb 2015,1.96,3.66
31 Mar 2015,1.99,3.74
30 Apr 2015,1.95,3.66
31 May 2015,1.9,3.61
30 Jun 2015,1.83,3.64
31 Jul 2015,1.87,3.54
31 Aug 2015,1.95,3.54
30 Sep 2015,1.91,3.53
31 Oct 2015,1.87,3.47
30 Nov 2015,1.92,3.36
31 Dec 2015,1.9,3.36
31 Jan 2016,1.93,3.24
29 Feb 2016,1.95,3.19
31 Mar 2016,1.9,3.19
30 Apr 2016,1.84,3.21
31 May 2016,1.91,3.21
30 Jun 2016,1.75,3.15
31 Jul 2016,1.72,3.13
31 Aug 2016,1.69,3.15
30 Sep 2016,1.59,2.97
31 Oct 2016,1.52,2.98
30 Nov 2016,1.43,2.93
31 Dec 2016,1.45,2.86
31 Jan 2017,1.45,2.82
28 Feb 2017,1.42,2.74
31 Mar 2017,1.37,2.62
30 Apr 2017,1.35,2.54
31 May 2017,1.49,2.62
30 Jun 2017,1.48,2.61
31 Jul 2017,1.41,2.63
31 Aug 2017,1.43,2.55
30 Sep 2017,1.4,2.52
31 Oct 2017,1.55,2.52
30 Nov 2017,1.61,2.52
31 Dec 2017,1.57,2.49
31 Jan 2018,1.54,2.3
28 Feb 2018,1.49,2.32
31 Mar 2018,1.53,2.33
30 Apr 2018,1.72,2.28
31 May 2018,1.74,2.26
30 Jun 2018,1.74,2.28
31 Jul 2018,1.75,2.27
31 Aug 2018,1.75,2.24
30 Sep 2018,1.71,2.33
31 Oct 2018,1.8,2.35
30 Nov 2018,1.75,2.36
31 Dec 2018,1.73,2.38
31 Jan 2019,1.72,2.37
28 Feb 2019,1.7,2.22
31 Mar 2019,1.7,2.25
30 Apr 2019,1.66,2.29
31 May 2019,1.65,2.28
30 Jun 2019,1.64,2.29
31 Jul 2019,1.61,2.19
31 Aug 2019,1.59,2.13
30 Sep 2019,1.55,2.04
31 Oct 2019,1.47,1.96
30 Nov 2019,1.41,1.94
31 Dec 2019,1.42,1.93
